Run,Zone 001,Zone 002,Zone 003,Zone 004,Zone 005,Zone 006,Zone 007,Zone 008,Zone 009,Zone 010,Zone 011,Zone 020,Zone 021,Zone 022,Zone 023,Zone 024,Zone 025,Zone 026,Zone 027,Zone 028,Zone 029,Zone 030,Series
kh_cps_Calibration,3.35E-06,1.00E-08,1.60E-08,1.00E-04,1.00E-08,4.54E-07,7.52E-08,5.79E-06,1.00E-06,1.00E-06,9.00E-08,4.79E-05,0.000167834,8.59E-06,1.00E-06,1.14E-05,4.10E-08,9.37E-07,4.34E-08,4.36E-05,1.00E-07,1.10E-07,Calibration
kh_cps_Base,3.31E-06,1.02E-08,1.29E-08,1.00E-04,1.00E-08,4.15E-07,7.17E-08,5.79E-06,9.19E-07,1.00E-06,8.72E-08,4.80E-05,0.000165251,1.00E-05,1.00E-06,1.27E-05,4.32E-08,8.79E-07,3.49E-08,3.76E-05,1.00E-07,1.00E-07,IES Base
kh_cps_Run000,3.31E-06,1.01E-08,1.24E-08,1.00E-04,1.00E-08,4.03E-07,7.00E-08,5.79E-06,9.21E-07,1.00E-06,8.87E-08,4.91E-05,0.000165829,1.00E-05,1.00E-06,1.23E-05,4.32E-08,8.87E-07,3.44E-08,3.73E-05,1.00E-07,1.00E-07,IES Avg
kh_cps_Run001,3.30E-06,1.01E-08,1.35E-08,9.77E-05,1.00E-08,4.57E-07,7.35E-08,5.79E-06,9.25E-07,1.00E-06,9.34E-08,5.25E-05,0.000177048,1.00E-05,1.00E-06,1.14E-05,4.12E-08,8.88E-07,3.74E-08,3.93E-05,1.00E-07,1.00E-07,IES Avg
kh_cps_Run002,3.32E-06,1.02E-08,1.22E-08,1.00E-04,1.00E-08,3.98E-07,7.06E-08,5.79E-06,9.18E-07,1.00E-06,8.13E-08,4.44E-05,0.000153612,1.00E-05,1.00E-06,1.37E-05,4.62E-08,8.74E-07,3.39E-08,3.68E-05,1.00E-07,1.00E-07,IES Avg
kh_cps_Run003,3.29E-06,1.01E-08,1.32E-08,9.89E-05,1.00E-08,4.56E-07,7.25E-08,5.79E-06,9.32E-07,1.00E-06,9.57E-08,5.07E-05,0.00016461,1.00E-05,1.00E-06,1.21E-05,4.26E-08,8.98E-07,3.83E-08,3.72E-05,1.00E-07,1.00E-07,IES Avg
kh_cps_Run004,3.33E-06,1.02E-08,1.27E-08,1.00E-04,1.00E-08,3.72E-07,7.22E-08,5.79E-06,9.07E-07,1.00E-06,8.39E-08,4.31E-05,0.000150633,1.00E-05,1.00E-06,1.32E-05,4.20E-08,9.00E-07,3.42E-08,3.95E-05,1.00E-07,1.00E-07,IES Avg
kh_cps_Run005,3.31E-06,1.02E-08,1.26E-08,1.00E-04,1.00E-08,4.17E-07,7.25E-08,5.79E-06,9.22E-07,1.00E-06,8.61E-08,4.37E-05,0.000157736,1.00E-05,1.00E-06,1.28E-05,4.46E-08,8.99E-07,3.66E-08,3.80E-05,1.00E-07,1.00E-07,IES Avg
kh_cps_Run006,3.31E-06,1.01E-08,1.35E-08,9.95E-05,1.00E-08,4.26E-07,7.48E-08,5.79E-06,9.26E-07,1.00E-06,9.08E-08,4.89E-05,0.000155562,1.00E-05,1.00E-06,1.28E-05,4.02E-08,8.94E-07,3.81E-08,3.90E-05,1.00E-07,1.00E-07,IES Avg
kh_cps_Run007,3.30E-06,1.02E-08,1.29E-08,1.00E-04,1.00E-08,4.51E-07,7.32E-08,5.79E-06,9.24E-07,1.00E-06,8.84E-08,4.54E-05,0.000153045,1.00E-05,1.00E-06,1.31E-05,4.54E-08,8.93E-07,3.87E-08,3.68E-05,1.00E-07,1.00E-07,IES Avg
kh_cps_Run008,3.33E-06,1.02E-08,1.28E-08,1.00E-04,1.00E-08,4.00E-07,7.13E-08,5.79E-06,9.07E-07,1.00E-06,7.96E-08,4.65E-05,0.000164051,1.00E-05,1.00E-06,1.27E-05,4.47E-08,8.70E-07,3.34E-08,3.92E-05,1.00E-07,1.00E-07,IES Avg
kh_cps_Run009,3.33E-06,1.02E-08,1.28E-08,1.00E-04,1.00E-08,4.00E-07,7.13E-08,5.79E-06,9.07E-07,1.00E-06,7.96E-08,4.65E-05,0.000164051,1.00E-05,1.00E-06,1.27E-05,4.47E-08,8.70E-07,3.34E-08,3.92E-05,1.00E-07,1.00E-07,IES Avg
